molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL512472,O=C(C1CC1)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,IC50,'=',25.0,nM
CHEMBL513139,CC(C)C(=O)N(Cc1ccc(Cl)cc1Cl)[C@H]1CCNC1,IC50,'=',28.0,nM
CHEMBL567289,c1cnc(N(Cc2ccc3ccccc3c2)C2CCNCC2)nc1,IC50,'=',1200.0,nM
CHEMBL565844,Cc1ccc(C(=O)C(C)NC(C)(C)C)cc1Cl,IC50,'=',900.0,nM
CHEMBL576622,CCCCC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,IC50,'=',400.0,nM
CHEMBL1085066,CNC[C@@H](O)CCN1c2ccccc2N(c2ccccc2C)S1(=O)=O,IC50,'=',64.0,nM
CHEMBL1083741,CNC[C@H](C)CN1c2ccccc2N(c2ccccc2F)S1(=O)=O,IC50,'=',602.0,nM
CHEMBL1082611,CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)c(F)c2)S1(=O)=O,IC50,'=',36.0,nM
CHEMBL1084829,CNC[C@@H](O)CCN1c2ccccc2N(c2ccc(F)cc2)S1(=O)=O,IC50,'=',51.0,nM
CHEMBL577283,CC(C)CN(C(=O)c1ccc2ccccc2c1)[C@@H]1CCNC1,IC50,'=',1200.0,nM
CHEMBL576821,Cc1c(CN([C@@H]2CCNC2)S(C)(=O)=O)ccc2cc(F)ccc12,IC50,'=',735.0,nM
CHEMBL150932,c1ccc(C(Oc2cccc3ccccc23)C2CCNCC2)cc1,IC50,'=',120.0,nM
CHEMBL4248596,COc1ccccc1N1CCN(CCCNC(=O)c2ccc(-c3ccccc3)cc2)CC1,IC50,'=',4960.0,nM
CHEMBL4237635,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cc2ccccc2s1,IC50,'=',3660.0,nM
CHEMBL4240083,O=C(NCCCN1CCN(c2ccc(C(F)(F)F)cc2)CC1)c1cc2ccccc2o1,IC50,'>',10000.0,nM
CHEMBL4246682,COc1ccccc1N1CCN(CCCNC(=O)c2ccc3ccccc3n2)CC1,IC50,'>',10000.0,nM
CHEMBL4245408,O=C(NCCCN1CCN(c2ncccn2)CC1)c1ccc2ccccc2c1,IC50,'>',10000.0,nM
CHEMBL4249668,O=C(NCCCN1CCN(c2ccccn2)CC1)c1ccc2ccccc2c1,IC50,'>',10000.0,nM
CHEMBL4247254,O=C(NCCCN1CCN(c2cccc(Cl)c2Cl)CC1)c1cccc2ccccc12,IC50,'>',10000.0,nM
CHEMBL580143,COc1cccc(C(=O)C(C)N2CCCCC2)c1,IC50,'=',718.0,nM
CHEMBL1082534,CNCCCN1Cc2ccccc2N(c2cccc(C)c2)S1(=O)=O,IC50,'=',1030.0,nM
CHEMBL1085904,CNCCCN1Cc2ccccc2N(c2cccc(OC)c2)S1(=O)=O,IC50,'=',790.0,nM
CHEMBL1095367,CNCCCC1Cc2cc(F)ccc2N(c2ccccc2)S1(=O)=O,IC50,'=',170.0,nM
CHEMBL4475690,Cc1nc(CSC(c2ccccc2)c2ccccc2)cs1,IC50,'=',129800.0,nM
CHEMBL4459152,Cc1nc(C[S+]([O-])C(c2ccccc2)c2ccccc2)cs1,IC50,'=',174000.0,nM
CHEMBL1201192,NC(=O)C[S@@+]([O-])C(c1ccccc1)c1ccccc1,IC50,'=',170000.0,nM
CHEMBL599813,CNC[C@@H](O)[C@H](c1cccc(F)c1)N1C[C@@H](C)c2ccccc21.Cl,IC50,'=',8.5,nM
CHEMBL213030,Clc1ccccc1CC(c1nccs1)N1CCNCC1,IC50,'=',45.0,nM
CHEMBL2407326,CCC(=O)C(c1ccc(Cl)c(Cl)c1)C1CCNCC1.Cl,IC50,'=',28.0,nM
CHEMBL2407332,COC[C@H](c1ccc(Cl)c(Cl)c1)C1CCNCC1.Cl,IC50,'=',15.0,nM
CHEMBL119385,O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,IC50,'=',20404.0,nM
CHEMBL960,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,IC50,'=',4630.0,nM
CHEMBL3775405,Cc1cccc(C)c1N1CCN(CCCN2CCC(Cc3ccccc3)CC2)CC1,IC50,'=',1070.0,nM
CHEMBL132683,COC(=O)C1C(c2ccc(O)c(O)c2)CC2CCC1N2C,IC50,'=',173.0,nM
CHEMBL728,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,IC50,'=',400.0,nM
CHEMBL3775008,Clc1ccc(N2CCN(CCN3CCC(Cc4ccccc4)CC3)CC2)c(Cl)c1,IC50,'=',2500.0,nM
CHEMBL3613151,O=C(NCCN1CCC(Cc2ccccc2)CC1)C(c1ccccc1)c1ccccc1,IC50,'=',1680.0,nM
CHEMBL1956107,CN[C@H]1CC[C@@H](N2CCc3ccc(NC(=N)c4cccs4)cc32)CC1,IC50,'=',4400.0,nM
CHEMBL543876,Cl.Cl.Fc1ccc(C(OCCN2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,IC50,'=',1460.0,nM
CHEMBL1201082,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1.Cl,IC50,'=',4410.0,nM
CHEMBL2093958,CCOC(=O)[C@@H](c1ccccc1)[C@@H]1CCCCN1.Cl,IC50,'>',10000.0,nM
CHEMBL1722,COC(=O)C(c1ccccc1)C1CCCCN1.Cl,IC50,'=',788.0,nM
CHEMBL251576,CN(C)CC1CC1c1n[nH]c2ccc(C#N)cc12,IC50,'>',100000.0,nM
CHEMBL4290687,COc1ccccc1N1CCN(CCCCOc2ccc3ccccc3c2)CC1,IC50,'=',29700.0,nM
CHEMBL534723,CCOc1ccccc1C[C@H](c1ccccc1)N1CCNCC1.Cl,IC50,'=',16.0,nM
CHEMBL214004,c1ccc(C(Cc2ccncc2)N2CCNCC2)cc1,IC50,'>',400.0,nM
CHEMBL211412,Fc1ccccc1C(Cc1ccccc1Cl)N1CCNCC1,IC50,'=',130.0,nM
CHEMBL214159,CCOc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,IC50,'=',28.0,nM
CHEMBL41,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,IC50,'=',5200.0,nM
CHEMBL376952,c1ccc(C(Cc2ccccn2)N2CCNCC2)cc1,IC50,'>',400.0,nM
CHEMBL723,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,IC50,'=',538.0,nM
CHEMBL256137,CNCc1cnc(C)cc1Oc1ccc(Cl)cc1C,IC50,'=',51.0,nM
CHEMBL403251,CCc1cc(Cl)ccc1Oc1cc(C)ncc1CNC,IC50,'=',22.0,nM
CHEMBL258449,CNCc1cnccc1Oc1ccc(Cl)cc1OC,IC50,'=',282.0,nM
CHEMBL257336,C#CCN(C(=O)[C@@]1(c2ccc3c(c2)OCCO3)C[C@H]1CN)C1CC1,IC50,'=',4.4,nM
CHEMBL406789,C=CCN(CC)C(=O)[C@@]1(c2ccc3c(c2)OCO3)C[C@H]1CN,IC50,'=',7.1,nM
CHEMBL410054,C=CCN(CC#CC)C(=O)[C@@]1(c2ccc3c(c2)CCO3)C[C@H]1CN,IC50,'=',40.0,nM
CHEMBL348716,c1ccc2nn(Nc3ccncc3)cc2c1,IC50,'>',20000.0,nM
CHEMBL406156,NCC(=O)NCC1CC1(C(=O)C1NCCc2ccccc21)c1ccccc1,IC50,'=',150.0,nM
CHEMBL410622,NCC(=O)NCC1CC1(C(=O)N1CCc2ccccc21)c1ccccc1,IC50,'=',12.0,nM
CHEMBL272285,NCC1CC1(C(=O)N1CCCCCC1)c1ccccc1,IC50,'=',130.0,nM
CHEMBL256019,NCC1CC1(C(=O)N1CCOCC1)c1ccccc1,IC50,'=',2300.0,nM
CHEMBL402999,CCN(CCOC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',180.0,nM
CHEMBL256039,CCCCN(CC)C(=O)C1(c2ccccc2)CC1CN,IC50,'=',360.0,nM
CHEMBL256408,CCN(CC)C(=O)C1(c2ccccc2)CC1CNCc1ncco1,IC50,'=',450.0,nM
CHEMBL508338,,IC50,'=',931.0,nM
CHEMBL1644477,Ic1cccc(O[C@@H]2C[C@H]3CC[C@@H](C2)N3)c1,IC50,'=',12.0,nM
CHEMBL1644606,N#Cc1ccc(-c2cccc(O[C@@H]3C[C@H]4CC[C@@H](C3)N4)c2)cc1,IC50,'=',60.0,nM
CHEMBL1644607,N#Cc1cccc(-c2cccc(O[C@@H]3C[C@H]4CC[C@@H](C3)N4)c2)c1,IC50,'=',31.0,nM
CHEMBL203488,CCCC(C(=O)c1ccc(Cl)c(Cl)c1)N1CCCC1,IC50,'=',21.0,nM
CHEMBL204254,CCCC(C(=O)c1cccc(C)c1)N1CCCC1,IC50,'=',9.4,nM
CHEMBL379536,NC(=O)c1cccc(CC(c2ccccc2)N2CCNCC2)c1,IC50,'>',400.0,nM
CHEMBL214273,FC(F)(F)c1cccc(CC(c2ccccc2)N2CCNCC2)c1,IC50,'>',400.0,nM
CHEMBL375131,FC(F)(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,IC50,'=',38.0,nM
CHEMBL209969,NC(=O)c1ccccc1CC(c1ccccc1)N1CCNCC1,IC50,'>',400.0,nM
CHEMBL1642900,CN(C)[C@@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,IC50,'=',164.0,nM
CHEMBL1642901,CN(C)[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,IC50,'=',98.0,nM
CHEMBL1642909,CNC[C@H]1Cc2ccccc2[C@@H](c2ccc(Cl)c(Cl)c2)C1,IC50,'=',372.0,nM
CHEMBL1642911,CN(C)C[C@H]1Cc2ccccc2[C@H](c2ccc(Cl)c(Cl)c2)C1,IC50,'=',309.0,nM
CHEMBL726,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,IC50,'=',1962.0,nM
