compound_id,base_rdkit_smiles,relation_SLC6A2,avg_pKi_SLC6A2,relation_SLC6A3,avg_pKi_SLC6A3,relation_SLC6A4,avg_pKi_SLC6A4
CHEMBL1081649,COc1cccc(-c2ccc(C(=O)N3CCN(C(=O)c4ccc5cc[nH]c5c4)[C@H](C)C3)cc2)c1,<,5.0,<,5.0,<,5.0
CHEMBL1082209,C[C@H]1CN(C(=O)c2ccc(-c3cccc(C(F)(F)F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1082210,C[C@H]1CN(C(=O)c2ccc(-c3cccc(F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1082211,C[C@H]1CN(C(=O)c2ccc(-c3ccccc3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,<,5.0,<,5.0,<,5.0
CHEMBL1083405,CC(C)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,,7.657577319177793,<,5.5003129173815966,,7.744727494896693
CHEMBL1083425,Fc1ccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)cc1,,7.397940008672037,,5.7544873321858505,,8.045757490560675
CHEMBL1083426,Fc1ccccc1C(Cc1ccccc1OC(F)(F)F)N1CCNCC1,,7.347445085904411,<,5.0,,7.588696848837405
CHEMBL1083427,Fc1cccc(C(Cc2ccccc2OC(F)(F)F)N2CCNCC2)c1,,7.522878745280337,,5.309803919971486,,7.795880017344075
CHEMBL1083705,c1ccc(C(Cc2ccccc2OC2CC2)N2CCNCC2)cc1,,7.657577319177793,,5.856985199745905,,7.721246399047171
CHEMBL1083706,c1ccc(C(Cc2ccccc2OCC2CC2)N2CCNCC2)cc1,,7.602059991327962,,5.853871964321762,,7.721246399047171
CHEMBL1083707,c1ccc(C(Cc2cccc3c2OCC3)N2CCNCC2)cc1,,6.468521082957745,<,5.5003129173815966,,8.096910013008056
CHEMBL1083708,FC(F)Oc1ccccc1CC(c1ccccc1)N1CCNCC1,,7.273482736278271,,5.388737726685321,,7.962464999488475
CHEMBL1084033,Fc1ccc(C(Cc2ccccc2OC(F)(F)F)N2CCNCC2)cc1,,7.171426191172806,,5.492927193082586,,7.629131666155142
CHEMBL1084309,Fc1ccccc1C(Cc1ccccc1OC(F)F)N1CCNCC1,,7.337242168318426,<,5.0,,7.769551078621726
CHEMBL1084577,Fc1cccc(C(Cc2ccccc2OC(F)F)N2CCNCC2)c1,,7.585026652029182,,5.460923901207224,,7.920818753952375
CHEMBL1084971,Oc1ccccc1C[C@H](c1ccccc1)N1CCNCC1,,7.236572006437063,,5.684029654543083,,8.096910013008056
CHEMBL1085321,COc1ccccc1CC(c1cccc(F)c1)N1CCNCC1,,7.522878745280337,,5.391473966422806,,8.096910013008056
CHEMBL1085510,CN1CC2C(=NO[C@H]2CN2CCN(C/C=C/c3ccccc3)CC2)c2ccccc21,,,,,,7.795880017344075
CHEMBL1085567,COc1ccccc1CC(c1ccc(F)cc1)N1CCNCC1,,7.0,,5.3124710387853655,,8.096910013008056
