,chembl,smile,pAct,relationship
35,None_CHEMBL2369620,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC1=O,5.57,=
36,None_CHEMBL2369619,CC[C@H](C)[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](Cc2ccccc2)N(C)C(=O)[C@H](Cc2ccccc2)NC(=O)[C@H](C(C)C)N(C)C(=O)[C@@H]([C@@H](C)CC)OC(=O)[C@H]([C@H](C)CO)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)N(C)C1=O,5.96,=
37,PROPAFENONE_CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,5.38,=
38,PROPAFENONE_CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.5,=
39,PROPAFENONE_CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.48,=
40,PROPAFENONE_CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.48,=
41,PROPAFENONE_CHEMBL631,CCCNCC(O)COc1ccccc1C(=O)CCc1ccccc1,6.48,=
42,DEXVERAPAMIL_CHEMBL197,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,5.8,=
43,DEXVERAPAMIL_CHEMBL197,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,5.62,=
44,DEXVERAPAMIL_CHEMBL197,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,5.26,=
45,DEXVERAPAMIL_CHEMBL197,COc1ccc(CCN(C)CCC[C@](C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,5.59,=
46,TAMOXIFEN_CHEMBL83,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,7.0,=
