rdkit_smiles,compound_id,NofA,pKi_mean,pKi_std
CC(C)COC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,CHEMBL181085,1,8.119758224104519,0.1639776038099834
CC(C)COC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL3357035,1,5.894830572000668,0.18191956447112131
CC(C)C[C@@H](N)C(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL3357049,1,5.332827327521131,0.18191956447112131
CC(C)N1CCC(Oc2ccc(C3(C(N)=O)CCOCC3)cc2)CC1,CHEMBL3221637,1,5.3979400086720375,0.18191956447112131
CC(C)N1CCC(Oc2ccc(N3CCN(C(=O)c4cc(F)cc(F)c4)CC3=O)cc2)CC1,CHEMBL430368,1,5.599999383023619,0.18191956447112131
CC(C)N1CCC(Oc2ccc(N3CCN(C(=O)c4ccc(C#N)cc4)CC3=O)cc2)CC1,CHEMBL238456,1,5.4999996786570655,0.18191956447112131
CC(C)N1CCC(Oc2ccc(N3CCN(C(=O)c4ccc(Cl)cc4)CC3=O)cc2)CC1,CHEMBL539093,1,5.4999996786570655,0.18191956447112131
CC(C)N1CCC(Oc2ccc(N3CCN(C(=O)c4ccc(F)cc4)CC3=O)cc2)CC1,CHEMBL535631,1,5.599999383023619,0.18191956447112131
CC(C)N1CCC(Oc2ccc(N3CCN(C(=O)c4ccc(F)cc4F)CC3=O)cc2)CC1,CHEMBL392532,1,5.599999383023619,0.18191956447112131
CC(C)N1CCC(Oc2ccc3c(c2)CCNCC3)CC1,CHEMBL3094213,1,5.599999383023619,0.18191956447112131
CC(C)NCc1ccc(-c2ccccc2)o1,CHEMBL1923532,1,5.3400001801593495,0.18191956447112131
CC(C)N[C@H](C)C(=O)N1CCN(CCCOc2ccc(C(=O)C3CC3)cc2)CC1,CHEMBL304888,1,4.3300000383353785,0.4719824216245228
CC(C)OC(=O)N(O)CCC#Cc1ccc(OCCCCN2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)cc1,CHEMBL180233,1,8.019996628416253,0.1639776038099834
CC(C)c1nc(CN2CC[C@H](c3ccccc3)C2)cs1,CHEMBL4159893,1,6.492144128304169,0.09566846312511786
CC(C1=C(CCN(C(C)C)C(C)C)Cc2ccccc21)c1ccccn1,CHEMBL352375,2,6.1349960950815525,0.524996286921775
CC(C1=C(CCN(C)C)Cc2cc(Cl)ccc21)c1ccccn1,CHEMBL167223,1,9.090016305060157,0.11408532748509612
CC(C1=C(CCN(C)C)Cc2ccccc21)c1ccccn1,CHEMBL22108,1,9.160019442321655,0.11408532748509612
CC(C1=C(CCN(C)CCF)Cc2ccccc21)c1ccccn1,CHEMBL172233,1,8.140021558357981,0.1639776038099834
CC(C1=C(CN(C)C)Cc2ccccc21)c1ccccn1,CHEMBL434684,1,7.540004743952608,0.40816916496270744
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,CHEMBL643,1,9.476253533188435,0.11408532748509612
CC(N)Cc1c[nH]c2ccccc12,CHEMBL30713,1,5.0,0.18191956447112131
CC(c1c(CCN(C)C)sc2ccccc12)n1ccnc1,CHEMBL1093607,1,6.9136401693252525,0.09566846312511786
CC(c1cccc(F)n1)c1c(CCN(C)C)sc2ccccc12,CHEMBL1091793,1,7.420216403383191,0.40816916496270744
CC(c1ccccn1)c1c(CCN(C)C)sc2ccccc12,CHEMBL1090432,1,7.920818753952375,0.40816916496270744
CC(c1cccnc1)c1c(CCN(C)C)sc2ccccc12,CHEMBL1091776,1,5.0,0.18191956447112131
CC(c1nccs1)c1c(CCN(C)C)sc2ccccc12,CHEMBL1092767,1,7.455931955649724,0.40816916496270744
CC1(C(=O)O)CCN(C2CCC3(Cc4ccccc4Cc4ccccc43)C2)CC1,CHEMBL1277769,1,7.299988937677887,0.40816916496270744
CC1(C(=O)O)CCN(C2CC[C@]3(Cc4ccccc4Cc4ccccc43)C2)C1,CHEMBL1278202,1,7.899974269892138,0.40816916496270744
CC1(C)CC(=O)N(CCCCN2Cc3ccccc3C2)C(=O)C1,CHEMBL3908870,2,5.411312994892671,0.0013128330342624395
CC1(C)CCCN(CCCOc2ccc(C3CCN(C(=O)c4ccc(CCC(=O)O)c5ccccc45)CC3)cc2)C1,CHEMBL2151156,1,7.899974269892138,0.40816916496270744
CC1(O)CN(S(=O)(=O)c2ccc3c(C(=O)NC[C@@H](O)CN4CCC(Oc5ccc(Cl)c(Cl)c5)CC4)c[nH]c(=O)c3c2)C1,CHEMBL2207655,1,7.599980364934843,0.40816916496270744
CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1,CHEMBL288768,1,7.200659450546419,0.40816916496270744
CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C,CHEMBL291166,1,6.449771646944907,0.09566846312511786
CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1,CHEMBL42335,1,7.040958607678906,0.40816916496270744
CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C,CHEMBL43594,1,6.210419287835576,0.09566846312511786
CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3F)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1,CHEMBL295001,1,6.966576244513051,0.09566846312511786
CC1=C(C(=O)NCCCN2CCC(C#N)(c3ccc(F)cc3F)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C,CHEMBL295395,1,6.519993057042849,0.09566846312511786
CC1=C(C(=O)NCCCN2CCC(c3ccc(F)cc3)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1,CHEMBL43860,1,7.721246399047171,0.40816916496270744
CC1=C(C(=O)NCCCN2CCC(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1,CHEMBL43491,1,7.236572006437062,0.40816916496270744
CC1=C(C(=O)NCCCN2CCC(c3ccc(F)cc3C#N)CC2)[C@@H](c2ccc(F)c(F)c2)CC(=O)N1C,CHEMBL288772,1,6.400116927926312,0.09566846312511786
CC1=CC(C)=[N+]2C1=C(c1ccc(OCCCN3CCCCC3)cc1)c1c(C)cc(C)n1[B-]2(F)F,CHEMBL2323582,1,5.779368980551907,0.18191956447112131
CC1CCC(CCCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)CC1,CHEMBL571174,1,7.214670164989233,0.40816916496270744
CC1CCCC(C)N1CCCOc1ccc(-c2ccc(C#N)cc2)cc1,CHEMBL105515,1,5.40000018605658,0.18191956447112131
CC1CCCCN1CCCOc1ccc(-c2ccc(C#N)cc2)cc1,CHEMBL102984,1,5.459999812689,0.18191956447112131
CC1CCCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)C1,CHEMBL322873,1,6.5600045260461926,0.09566846312511786
CC1CCN(CCCOc2ccc(-c3ccc(C#N)cc3)cc2)CC1,CHEMBL323562,1,6.369999510099088,0.09566846312511786
CC1CN(C2=Cc3ccccc3Cn3ccnc32)CC(C)N1CCC(=O)O,CHEMBL1222624,1,7.700057099977232,0.40816916496270744
CC1NC(N)=Nc2ccc(Cl)c(Cl)c21,CHEMBL273170,1,8.096910013008056,0.1639776038099834
CC1NC(N)=Nc2cccc(Cl)c21,CHEMBL270177,1,5.9586073148417755,0.18191956447112131
CC1NC(NCC(F)F)=Nc2ccc(Cl)c(Cl)c21,CHEMBL429136,1,7.73754891026957,0.40816916496270744
CCCC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL331603,1,6.767003889607847,0.09566846312511786
CCCC(=O)c1ccc(OCCCN2CCN(C(=O)OCC)CC2)cc1,CHEMBL304714,1,6.130000141365475,0.09566846312511786
CCCCC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,CHEMBL3357043,1,6.832682665251824,0.09566846312511786
CCCCC1CCN(CCCC(=O)c2ccccc2C)CC1,CHEMBL1242950,1,6.214670164989233,0.09566846312511786
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)C(C)(C)O)CC2)cc1,CHEMBL294349,1,4.6700000181810175,0.4719824216245228
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)C(C)C)CC2)cc1,CHEMBL62527,1,5.40000018605658,0.18191956447112131
CCCCCC(=O)c1ccc(OCCCN2CCN(C(=O)C3CC3)CC2)cc1,CHEMBL302886,1,5.7499998559187055,0.18191956447112131
