,chembl,smile,pAct,relationship
568,None_CHEMBL3092488,COc1ccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)cc1OC,6.52,=
569,None_CHEMBL3092488,COc1ccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)cc1OC,6.72,=
570,None_CHEMBL3092488,COc1ccc(-c2nc(Nc3cccc(C#N)c3)c3ccccc3n2)cc1OC,6.87,=
571,None_CHEMBL3092489,COc1ccc(-c2nc(Nc3ccccc3O)c3ccccc3n2)cc1OC,6.54,=
572,None_CHEMBL3092489,COc1ccc(-c2nc(Nc3ccccc3O)c3ccccc3n2)cc1OC,6.58,=
573,None_CHEMBL3092487,COc1ccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3ccccc3n2)cc1OC,6.62,=
574,None_CHEMBL3092487,COc1ccc(-c2nc(Nc3cccc(C(F)(F)F)c3)c3ccccc3n2)cc1OC,6.52,=
575,None_CHEMBL3092490,COc1ccc(-c2nc(Nc3cccc(O)c3)c3ccccc3n2)cc1OC,6.96,=
576,None_CHEMBL3092490,COc1ccc(-c2nc(Nc3cccc(O)c3)c3ccccc3n2)cc1OC,6.85,=
577,None_CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,7.04,=
578,None_CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,7.12,=
579,None_CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,7.08,=
580,None_CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,7.09,=
581,None_CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,8.46,=
582,None_CHEMBL3092485,COc1ccc(-c2nc(Nc3cccc([N+](=O)[O-])c3)c3ccccc3n2)cc1OC,4.71,=
583,None_CHEMBL1360562,Oc1cccc(Nc2nc(-c3ccccc3)nc3ccccc23)c1,6.82,=
584,None_CHEMBL3110301,COc1ccc2[nH]cc(CCN(C)Cc3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,6.09,=
585,None_CHEMBL3110301,COc1ccc2[nH]cc(CCN(C)Cc3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,5.95,=
586,None_CHEMBL3110301,COc1ccc2[nH]cc(CCN(C)Cc3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,6.22,=
587,None_CHEMBL3110299,O=C(NCc1cn(CCc2c[nH]c3ccccc23)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.6,=
588,None_CHEMBL3110299,O=C(NCc1cn(CCc2c[nH]c3ccccc23)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.31,=
589,None_CHEMBL3110299,O=C(NCc1cn(CCc2c[nH]c3ccccc23)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.34,=
590,None_CHEMBL3110298,O=C(NCc1cn(Cc2ccc(Br)cc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.03,=
591,None_CHEMBL3110298,O=C(NCc1cn(Cc2ccc(Br)cc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.24,=
592,None_CHEMBL3110298,O=C(NCc1cn(Cc2ccc(Br)cc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.15,=
593,None_CHEMBL3110297,O=C(NCc1cn(Cc2ccccc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.37,=
594,None_CHEMBL3110297,O=C(NCc1cn(Cc2ccccc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,5.82,=
595,None_CHEMBL3110297,O=C(NCc1cn(Cc2ccccc2)nn1)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.3,=
596,None_CHEMBL3110296,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4ccc(OCc5ccc(Br)cc5)cc4o3)c2c1,8.0,=
597,None_CHEMBL3110296,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4ccc(OCc5ccc(Br)cc5)cc4o3)c2c1,5.9,=
598,None_CHEMBL3110296,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4ccc(OCc5ccc(Br)cc5)cc4o3)c2c1,5.81,=
599,None_CHEMBL3110293,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4cc(OCc5ccc(Br)cc5)ccc4o3)c2c1,6.28,=
600,None_CHEMBL3110293,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4cc(OCc5ccc(Br)cc5)ccc4o3)c2c1,6.54,=
601,None_CHEMBL3110293,COc1ccc2[nH]cc(CCNC(=O)c3cc(=O)c4cc(OCc5ccc(Br)cc5)ccc4o3)c2c1,7.0,=
602,None_CHEMBL3110290,Cn1cc(CCNC(=O)c2cc(=O)c3c(OCc4ccc(Br)cc4)cccc3o2)c2ccccc21,5.96,=
603,None_CHEMBL3110290,Cn1cc(CCNC(=O)c2cc(=O)c3c(OCc4ccc(Br)cc4)cccc3o2)c2ccccc21,6.52,=
604,None_CHEMBL3110290,Cn1cc(CCNC(=O)c2cc(=O)c3c(OCc4ccc(Br)cc4)cccc3o2)c2ccccc21,6.66,=
605,None_CHEMBL3110289,COc1ccc2c(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c[nH]c2c1,6.54,=
606,None_CHEMBL3110289,COc1ccc2c(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c[nH]c2c1,7.0,=
607,None_CHEMBL3110289,COc1ccc2c(CCNC(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c[nH]c2c1,7.1,=
608,None_CHEMBL3110300,CN(CCc1c[nH]c2ccccc12)Cc1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1.Cl,5.75,=
609,None_CHEMBL3110300,CN(CCc1c[nH]c2ccccc12)Cc1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1.Cl,5.96,=
610,None_CHEMBL3110295,CN(CCc1cn(C)c2ccccc12)C(=O)c1cc(=O)c2cc(OCc3ccc(Br)cc3)ccc2o1,5.69,=
611,None_CHEMBL3110295,CN(CCc1cn(C)c2ccccc12)C(=O)c1cc(=O)c2cc(OCc3ccc(Br)cc3)ccc2o1,5.67,=
612,None_CHEMBL3110294,CN(CCc1c[nH]c2ccccc12)C(=O)c1cc(=O)c2cc(OCc3ccc(Br)cc3)ccc2o1,5.59,=
613,None_CHEMBL3110294,CN(CCc1c[nH]c2ccccc12)C(=O)c1cc(=O)c2cc(OCc3ccc(Br)cc3)ccc2o1,5.78,=
614,None_CHEMBL3110292,COc1ccc2[nH]cc(CCN(C)C(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,6.02,=
615,None_CHEMBL3110292,COc1ccc2[nH]cc(CCN(C)C(=O)c3cc(=O)c4c(OCc5ccc(Br)cc5)cccc4o3)c2c1,6.28,=
616,None_CHEMBL3108796,CN(CCc1cn(C)c2ccccc12)C(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.0,=
617,None_CHEMBL3108796,CN(CCc1cn(C)c2ccccc12)C(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.3,=
618,None_CHEMBL3110291,CN(CCc1c[nH]c2ccccc12)C(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,5.96,=
619,None_CHEMBL3110291,CN(CCc1c[nH]c2ccccc12)C(=O)c1cc(=O)c2c(OCc3ccc(Br)cc3)cccc2o1,6.24,=
620,None_CHEMBL1504035,COc1ccc(/C=C/C(=O)c2ccc(C(=O)/C=C/c3ccc(OC)c(OC)c3)cc2)cc1OC,5.68,=
621,None_CHEMBL3238320,COc1ccc(OC)c(/C=C/C(=O)c2ccc(C(=O)/C=C/c3cc(OC)ccc3OC)cc2)c1,6.16,=
