molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL4065741,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NCC23CCCCN2CCCC3)cc1F,IC50,'>',30000.0,nM
CHEMBL4100911,O=S(=O)(Nc1nccs1)c1cc(Cl)c(NC[C@@]23CCCN2C[C@H](F)C3)cc1F,IC50,'>',30000.0,nM
CHEMBL4100413,O=C(Nc1cccc(C(F)(F)F)c1-c1cccnc1)c1cccc(-c2ncccc2OC(F)F)c1,IC50,'=',220.0,nM
CHEMBL4079509,O=C(Nc1cccc(C(F)(F)F)c1-c1ccccn1)c1cccc(-c2ncccc2OC(F)F)c1,IC50,'=',18.0,nM
CHEMBL3704423,Cn1cc(-c2ccc(C#N)c(F)c2)c2ccc(S(=O)(=O)Nc3ncns3)cc21,IC50,'>',10000.0,nM
CHEMBL3704430,Cn1cc(-c2cccc(S(C)(=O)=O)c2)c2ccc(S(=O)(=O)Nc3ncns3)cc21,IC50,'>',10000.0,nM
CHEMBL552196,Cc1c(O)noc1C1CCN(C(=O)NC2CC2c2ccccc2)CC1,IC50,'>',10000.0,nM
CHEMBL4127190,C[C@]12CCCC[C@H]1C[C@@H](N1CCC[C@@H](N)C1)[C@@H]2Oc1ccc(C#N)cc1,IC50,'=',18000.0,nM
CHEMBL2012277,c1ccc(CN2CCC(Oc3ncnc4c3ccn4Cc3ccccc3)CC2)cc1,IC50,'=',740.0,nM
CHEMBL1080076,CC1(c2ccccc2)CCCN(C(=O)Nc2ccc(-c3ccccc3)cc2)C1,IC50,'<',10000.0,nM
CHEMBL4126938,CC1(O)CC[C@@]2(C)[C@H](C[C@@H](N3CCC[C@@H](N)C3)[C@@H]2Oc2ccc(C#N)cc2)C1,IC50,'>',100000.0,nM
CHEMBL4130214,N#Cc1ccc(O[C@@H]2[C@@H]3CC(=O)[C@@H]3C[C@H]2N2CCC[C@@H](N)C2)cc1,IC50,'>',100000.0,nM
CHEMBL3809904,FC(F)(F)Oc1ccc(-c2ccn3ncc(C(F)(F)F)c3c2)cc1,IC50,'=',417.0,nM
CHEMBL3797498,O=C1N(c2ccncc2)CCN1c1cccc2c1cnn2-c1ccccc1F,IC50,'=',3100.0,nM
