molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pIC50
CHEMBL258063,CNCc1cc(C#N)ccc1Oc1ccc(Cl)cc1Cl,IC50,'<',400.0,nM,,307.18,CHEMBL1141595,6.3979400086720375
CHEMBL402851,CN(C)Cc1ccccc1Oc1ccccc1Cl,IC50,'=',15.0,nM,7.82,261.75,CHEMBL1141595,7.823908740944319
CHEMBL566000,CC(NC(C)(C)C)C(=O)c1ccc(Cl)cc1,IC50,'=',2070.0,nM,5.68,239.75,CHEMBL1157604,5.684029654543083
CHEMBL605501,CC(NC1CCCC1)C(=O)c1cccc(F)c1,IC50,'=',2850.0,nM,5.54,235.30,CHEMBL1157604,5.54515513999149
CHEMBL469476,Cl.Cl.OC1(C(CN2CCNCC2)c2cccc(OC(F)(F)F)c2)CCCCC1,IC50,'=',284.0,nM,6.55,445.35,CHEMBL1155011,6.546681659952962
CHEMBL459852,CN1CCN(C[C@@H](c2cccc(Cl)c2)C2(O)CCCCC2)CC1.Cl.Cl,IC50,'=',577.0,nM,6.24,409.83,CHEMBL1155011,6.238824186844268
CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,IC50,'=',3.4,nM,8.47,266.39,CHEMBL1155011,8.468521082957745
CHEMBL469809,c1ccc2cc(CO[C@@H]3CCNC3)ccc2c1,IC50,'=',1200.0,nM,5.92,227.31,CHEMBL1153958,5.920818753952375
CHEMBL506397,N#Cc1ccc2cc(OC[C@@H]3CCNC3)ccc2c1,IC50,'=',772.0,nM,6.11,252.32,CHEMBL1153958,6.112382699664264
CHEMBL471036,c1ccc2cc(COC3CCNCC3)ccc2c1,IC50,'=',6500.0,nM,5.19,241.33,CHEMBL1153958,5.187086643357144
CHEMBL488638,Clc1ccc([C@@]23CNC[C@@H]2C3)cc1Cl,IC50,'=',103.0,nM,6.99,228.12,CHEMBL1157485,6.987162775294828
CHEMBL1201066,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl,IC50,'=',2553.0,nM,5.59,313.87,CHEMBL3611988,5.592949185195749
CHEMBL2113279,COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(C)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1OC,IC50,'<',6900.0,nM,,434.61,CHEMBL1146223,5.161150909262744
CHEMBL77675,N=C(Nc1ccccc1)Nc1ccccc1,IC50,'=',1152.0,nM,5.94,211.27,CHEMBL1909046,5.938547520912807
CHEMBL1683888,CN(C)CC1(c2ccc(Cl)c(F)c2)CCCCC1,IC50,'=',26.0,nM,7.58,269.79,CHEMBL1681686,7.585026652029182
CHEMBL1683884,CN(C)CC1(c2ccc(Cl)cc2)CCCCC1,IC50,'=',51.0,nM,7.29,251.80,CHEMBL1681686,7.292429823902063
CHEMBL1683870,CNCC1(c2ccc(Cl)c(Cl)c2)CCCCC1,IC50,'=',85.0,nM,7.07,272.22,CHEMBL1681686,7.070581074285707
CHEMBL1683893,CN(C)CC1(c2cccc(F)c2)CCCCC1,IC50,'=',146.0,nM,6.84,235.35,CHEMBL1681686,6.835647144215563
CHEMBL1683885,CNCC1(c2ccc(Cl)cc2)CCCCC1,IC50,'=',326.0,nM,6.49,237.77,CHEMBL1681686,6.486782399932061
CHEMBL316862,CN(C)CC(c1ccccc1Cl)C1(O)CCCCC1,IC50,'=',205.0,nM,6.69,281.83,CHEMBL1155011,6.688246138944246
CHEMBL2338045,Fc1cc(F)c(Cl)c(O[C@@H](c2ccccc2)[C@H]2CCNC2)c1Cl,IC50,'=',0.7943,nM,9.1,358.21,CHEMBL2331276,9.100015437450608
CHEMBL2338044,Fc1ccc(F)c(O[C@@H](c2ccccc2)[C@H]2CCNC2)c1F,IC50,'=',0.631,nM,9.2,307.31,CHEMBL2331276,9.199970640755865
CHEMBL524313,CNC[C@@H]1OCc2ccccc2[C@@H]1Oc1ccc(O)cc1C,IC50,'=',8.0,nM,8.1,299.37,CHEMBL1156588,8.096910013008056
CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,IC50,'=',20.0,nM,7.7,271.36,CHEMBL3352322,7.698970004336019
CHEMBL3310478,Fc1ccc(OC(CC2CNC2)c2ccc(Cl)c(Cl)c2)cc1,IC50,'=',33.7,nM,7.47,340.23,CHEMBL3352322,7.4723700991286615
CHEMBL3310483,Fc1cc(C(CC2CNC2)Oc2cccc(Cl)c2)ccc1Cl,IC50,'=',30.0,nM,7.52,340.23,CHEMBL3352322,7.522878745280337
CHEMBL1095524,OC1(C(CN2CCNCC2)c2ccsc2Cl)CCCCC1,IC50,'=',720.0,nM,6.14,328.91,CHEMBL1158540,6.142667503568731
CHEMBL1097148,CN1CCN(CC(c2csc(Cl)c2)C2(O)CCCCC2)CC1,IC50,'=',95.0,nM,7.02,342.94,CHEMBL1158540,7.022276394711152
CHEMBL1099178,CN1CCN(C[C@@H](c2csc(Cl)c2)C2(O)CCCCC2)CC1,IC50,'=',18000.0,nM,4.75,342.94,CHEMBL1158540,4.7447274948966935
CHEMBL380758,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(C(=O)OC)cc21,IC50,'=',1250.0,nM,5.9,364.27,CHEMBL1139648,5.903089986991944
CHEMBL206599,CNC(=O)c1ccc2c(c1)[C@H](c1ccc(Cl)c(Cl)c1)CC[C@@H]2NC,IC50,'=',5000.0,nM,5.3,363.29,CHEMBL1139648,5.301029995663981
