molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units,pchembl_value,molecular_weight,document_chembl_id,pKi
CHEMBL4208779,CCOC(=O)[C@@H]1CN(CCn2c(=O)[nH]c3ccccc3c2=O)CC[C@@H]1c1cccc(C(F)(F)F)c1,Ki,'<',10000.0,nM,,489.49,CHEMBL4196220,5.0
CHEMBL4216117,CCOC(=O)[C@@H]1CN(CCn2c(=O)[nH]c3ccccc3c2=O)CC[C@@H]1c1ccc(C)cc1,Ki,'=',7300.0,nM,5.14,435.52,CHEMBL4196220,5.136677139879544
CHEMBL4764284,CC(=O)Nc1cc(NC(=O)NCCCCC(c2ccc(F)cc2)c2ccc(F)cc2)ccc1Cl,Ki,'=',609.0,nM,6.21,485.96,CHEMBL4732053,6.215382707367125
CHEMBL4747264,O=C(NCCCCCC(c1ccc(F)cc1)c1ccc(F)cc1)Nc1ccc(Cl)c(C(F)(F)F)c1,Ki,'=',399.0,nM,6.4,510.93,CHEMBL4732053,6.399027104313252
CHEMBL4533250,Cl.Clc1ccccc1OCc1cc(OC[C@@H]2CCCN2)no1,Ki,'<',10000.0,nM,,345.23,CHEMBL4425114,5.0
CHEMBL232867,COC(=O)C1=C(c2ccc(C(C)=O)cc2)CCC1,Ki,'=',331131.12,nM,,244.29,CHEMBL1149591,3.48000000194449
CHEMBL232671,COC(=O)C1=C(c2cccc(Cl)c2)CCC1,Ki,'=',34673.69,nM,4.46,236.70,CHEMBL1149591,4.459999937940861
CHEMBL235408,COC(=O)C1=C(c2ccc(Cl)cc2)C2CCC1O2,Ki,'=',18197.01,nM,4.74,264.71,CHEMBL1149591,4.739999966255497
CHEMBL391911,COC(=O)C1=C(c2ccc(-c3ccccc3)cc2)C2CCC1N2,Ki,'=',24547.09,nM,4.61,305.38,CHEMBL1149591,4.609999985082743
CHEMBL388832,COc1ccc(-c2cnc([C@H]3[C@@H](c4ccc(Cl)cc4)C[C@@H]4CC[C@H]3N4C)s2)cc1OC,Ki,'=',234.0,nM,6.63,455.02,CHEMBL1146223,6.6307841425898575
CHEMBL519819,[11CH3]Oc1cccc2c1CCN(CCCc1c[nH]c3ccc(I)cc13)C2,Ki,'=',1155.0,nM,5.94,445.33,CHEMBL1150402,5.937418015771837
CHEMBL3323088,Cc1ccc2c(c1)CN(C)CC2c1ccc(F)cc1,Ki,'=',36.0,nM,7.44,255.34,CHEMBL3351632,7.443697499232712
CHEMBL498566,CCN(CCc1ccc(OC(F)(F)F)cc1)CCN1CCCC1,Ki,'=',5525.0,nM,5.26,330.39,CHEMBL1150346,5.2576677176428515
CHEMBL486537,c1ccc(CC2(c3ccc4sccc4c3)CCNC2)cc1,Ki,'=',16.0,nM,7.8,293.43,CHEMBL1152295,7.795880017344075
CHEMBL487355,c1ccc(CC2(c3ccc4[nH]ccc4c3)CCNC2)cc1,Ki,'=',81.0,nM,7.09,276.38,CHEMBL1152295,7.0915149811213505
CHEMBL528995,Clc1ccc(C23CNCC2C3)cc1Cl,Ki,'=',251.0,nM,6.6,228.12,CHEMBL1152295,6.600326278518962
CHEMBL404956,Cc1cc(F)ccc1O[C@H](c1ccccc1)[C@H]1CNCCO1,Ki,'=',950.0,nM,6.02,301.36,CHEMBL1144811,6.022276394711152
CHEMBL427563,Cc1cc(F)ccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,'=',1250.0,nM,5.9,301.36,CHEMBL1144811,5.903089986991944
CHEMBL22183,Cc1ccc(Sc2ccccc2CN(C)C)c(N)c1,Ki,'<',1000.0,nM,,272.42,CHEMBL1152212,6.0
CHEMBL3964962,Cc1cccc2c1C(c1ccc3ccccc3c1)CN(C)C2,Ki,'=',39.5,nM,7.4,287.41,CHEMBL3638841,7.403402904373539
CHEMBL223166,COc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,'=',2000.0,nM,5.7,299.37,CHEMBL1139340,5.698970004336019
CHEMBL133070,COC(=O)C1C(c2ccc(C(C)=O)c(C(C)=O)c2)CC2CCC1N2C,Ki,'<',10000.0,nM,,343.42,CHEMBL1136450,5.0
CHEMBL59,NCCc1ccc(O)c(O)c1,Ki,'=',6400.0,nM,5.19,153.18,CHEMBL1136450,5.1938200260161125
CHEMBL3310034,Cc1cc2cc(CCC(=O)O)c(O)c(O)c2c(=O)o1,Ki,'=',557.0,nM,6.25,264.23,CHEMBL3352407,6.254144804826271
CHEMBL493130,Cl.NC[C@H]1C[C@@H]1c1ccc(F)cc1,Ki,'=',3261.0,nM,5.49,201.67,CHEMBL1153382,5.486649201194043
CHEMBL492916,Cl.NCC1CC1c1ccccc1Br,Ki,'<',10000.0,nM,,262.58,CHEMBL1153382,5.0
CHEMBL451232,Cl.NC[C@H]1C[C@@H]1c1ccc(F)cc1Cl,Ki,'<',10000.0,nM,,236.12,CHEMBL1153382,5.0
