molecule_chembl_id,smiles,standard_type,standard_relation,standard_value,standard_units
CHEMBL2112979,C1=C[C@@H]2C(=NO[C@H]2CN2CCN(C/C=C/c3ccccc3)CC2)c2ccccc21,Ki,'=',106.0,nM
CHEMBL178588,C/C(=C\c1ccccc1)CN1CCN(C[C@@H]2ON=C3c4ccc(OC(=O)C(C)(C)C)cc4OC[C@H]32)CC1,Ki,'=',12.0,nM
CHEMBL77867,Fc1ccc(C(OCCC2CCN(CCCc3ccccc3)CC2)c2ccc(F)cc2)cc1,Ki,'=',68.0,nM
CHEMBL608430,Clc1ccc([C@]23CNC[C@H]2[C@@H]3COC2CCC2)cc1Cl,Ki,'=',0.631,nM
CHEMBL599638,COC[C@@H]1[C@H]2CNC[C@]21c1ccc(Cl)c(Cl)c1,Ki,'=',25.7,nM
CHEMBL204530,O=C(O)C(=O)O.O[C@H](Cc1ccccc1)CN1CCC(CCOC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,Ki,'=',41.0,nM
CHEMBL3799356,CN(C)CCCN1c2ccccc2CCc2ccc(CCCOCCCN3c4ccccc4CCc4ccccc43)cc21,Ki,'=',6300.0,nM
CHEMBL3799011,CN(C)CCCN1c2ccccc2CCc2ccc(C#CCOCCCOc3cccc4ccccc34)cc21,Ki,'=',1200.0,nM
CHEMBL3798819,CN(C)CCCN1c2ccccc2CCc2ccc(C#CCOCCOc3cccc4ccccc34)cc21,Ki,'=',8000.0,nM
CHEMBL3799072,CN(C)CCCN1c2ccccc2CCc2ccc(C#CCOCCOc3ccc4ccccc4c3)cc21,Ki,'=',2000.0,nM
CHEMBL3950161,COc1ccc(Br)c(CC2CCN(CCc3ccc(OC)c(Cl)c3)CC2)c1,Ki,'=',18.9,nM
CHEMBL3949638,COc1ccc(Br)c(CC2CCN(CCc3ccc4ccccc4c3)CC2)c1,Ki,'=',25.6,nM
CHEMBL3958278,COc1ccc(Br)c(CC2CCN(CCc3ccc4c(c3)OCCO4)CC2)c1,Ki,'=',14.0,nM
CHEMBL1082210,C[C@H]1CN(C(=O)c2ccc(-c3cccc(F)c3)cc2)CCN1C(=O)c1ccc2cc[nH]c2c1,Ki,'>',10000.0,nM
CHEMBL3913541,COc1ccc(Br)c(CC2CCN(CCc3ccccc3)CC2)c1,Ki,'=',66.4,nM
CHEMBL219116,COC(=O)C(c1ccc(Cl)cc1)C1CCCCN1,Ki,'=',6000.0,nM
CHEMBL383879,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2C(C)=O)cc(C(C)=O)c1,Ki,'=',5465.0,nM
CHEMBL385607,CC(=O)c1cc(NC(=O)NCCC[C@H]2C[C@H](Cc3ccc(F)cc3)CCN2CC(N)=O)cc(C(C)=O)c1,Ki,'=',710.0,nM
CHEMBL218262,C=CCN1CC[C@@H](Cc2ccc(F)cc2)C[C@@H]1CCCNC(=O)Nc1cc(C(C)=O)cc(C(C)=O)c1,Ki,'=',69.0,nM
CHEMBL373710,CC(C)CCC(c1ccc(Cl)cc1)C1CCCCN1,Ki,'=',5000.0,nM
CHEMBL219703,CCCCCC(c1ccc(Cl)cc1)C1CCCCN1,Ki,'=',3600.0,nM
CHEMBL442924,CNC(=O)c1cc2cc(C3(Cc4ccccc4)CCNC3)ccc2[nH]1,Ki,'=',13.0,nM
CHEMBL3287653,CCN(CC)c1ccc2c(-c3ccc(S(=O)(=O)NCCCCCC(=O)NCCCN(C)CCC[C@@]4(c5ccc(F)cc5)OCc5cc(C#N)ccc54)cc3S(=O)(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,Ki,'=',11.0,nM
CHEMBL466006,Cc1cccc(NC(=O)c2ccc(-c3ccccc3)c(C#N)c2)n1,Ki,'>',6000.0,nM
CHEMBL443979,Cc1nc(C#Cc2ccc(-c3cccnc3)c(F)c2)cs1,Ki,'>',6000.0,nM
CHEMBL319119,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C(C)=C/c4cc(F)ccc4F)CC3)[C@@H]1CO2,Ki,'=',3.2,nM
CHEMBL198018,CN(C)C[C@H]1C[C@@H]1c1c[nH]c2cccc(C#N)c12,Ki,'=',230.0,nM
CHEMBL190937,CN(C)Cc1ccccc1Sc1ccc(CO)cc1N,Ki,'=',0.8,nM
CHEMBL2030636,Fc1cccc(CCN2CCCC2)c1,Ki,'>',10000.0,nM
CHEMBL180630,CN(C)CCCc1c[nH]c2ccc(C#N)cc12,Ki,'=',2.0,nM
CHEMBL196365,CNCCCC1Cc2ccccc2N(c2ccccc2)C1=O,Ki,'>',100.0,nM
CHEMBL248824,Cc1cccc(OC(=O)C2=C(c3ccc(Cl)c(Cl)c3)CCC2)c1,Ki,'>',1000000.0,nM
CHEMBL223166,COc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1,Ki,'=',185.0,nM
CHEMBL224093,C[n+]1ccc(-c2ccc(SS(C)(=O)=O)cc2)cc1.[I-],Ki,'=',1300000.0,nM
CHEMBL320597,Cc1ccc(CN2CCN(CC(=O)N3c4ccccc4C[C@H]3C)CC2)cc1,Ki,'=',532.0,nM
CHEMBL142028,CNCCC(Oc1cccc2ccccc12)c1ccsc1,Ki,'=',1.1,nM
CHEMBL1175,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,Ki,'=',0.8,nM
CHEMBL421027,C1=C(c2c[nH]c3ccccc23)CCN(CCOc2cccc3[nH]ccc23)C1,Ki,'=',41.2,nM
CHEMBL1258881,O=C1NCc2cc(F)c(OCCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21,Ki,'=',13.0,nM
CHEMBL1258650,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21,Ki,'=',13.6,nM
CHEMBL1258763,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5cc(F)ccc45)CC3)cc21,Ki,'=',22.2,nM
CHEMBL1257385,O=C1NCc2cc(Cl)c(OCCCCN3CCN(c4cccc5cccc(F)c45)CC3)cc21,Ki,'=',45.6,nM
CHEMBL1258650,O=C1NCc2cc(F)c(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)cc21,Ki,'=',419.0,nM
CHEMBL1258200,O=C1NCc2ccc(OCCCN3CCN(c4cccc5ccc(F)cc45)CC3)c(F)c21,Ki,'=',447.0,nM
CHEMBL2432062,CN(Cc1ccc2c(c1)OCO2)[C@H]1C2C3CC4C5C3CC2C5C41,Ki,'>',10000.0,nM
CHEMBL3656909,O=C1c2cc(CCN3CCC(Cc4ccc(Br)c(OCCO)c4)CC3)ccc2OCC1O,Ki,'=',18.0,nM
CHEMBL3656910,O=C1c2cc(CCN3CCC(Cc4ccc(Br)c(O)c4)CC3)ccc2OCC1O,Ki,'=',11.0,nM
CHEMBL3656915,COCCOc1cc(CC2CCN(CCc3ccc4c(c3)C(=O)CC(O)O4)CC2)ccc1Br,Ki,'=',1.3,nM
CHEMBL3656923,OCCOc1cc(CC2CCNCC2)ccc1Br,Ki,'=',228.0,nM
CHEMBL2207488,CCCN1CCC(c2coc3ccccc23)CC1,Ki,'=',827.0,nM
CHEMBL1788140,CN(C)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)c2ccccc21.O=C(O)/C=C\C(=O)O,Ki,'=',0.33,nM
CHEMBL1643897,COC(=O)[C@H]1[C@@H](c2ccc(C)cc2)C[C@H]2CC[C@@H]1N2C/C=C/I,Ki,'=',500.0,nM
CHEMBL1645608,Fc1cccc(Cl)c1Oc1cccc(F)c1OC1CCNCC1,Ki,'=',2040.0,nM
CHEMBL2386164,COc1ccc(O[C@H](CC(C)C)[C@H]2CCNC2)c(C)n1,Ki,'=',0.23,nM
CHEMBL420830,COc1cc2c(cc1OC)C1=NO[C@@H](CN3CCN(C/C=C\c4ccccc4)CC3)[C@@H]1CO2,Ki,'=',35.0,nM
CHEMBL3586683,CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(CNC(=O)c3ccc(N=[N+]=[N-])c(I)c3)ccc21,Ki,'=',5697.0,nM
CHEMBL136154,Fc1ccc(C(OCCC2CCN(Cc3cc4ccccc4o3)CC2)c2ccc(F)cc2)cc1,Ki,'=',85.0,nM
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,'=',500.0,nM
CHEMBL596806,CCC(C)OCC[C@]1(c2ccc(Cl)c(Cl)c2)[C@@H]2CNC[C@@H]21,Ki,'=',0.3162,nM
CHEMBL2206509,Cc1ccc2c(c1)CN(C)C[C@H]2c1ccc(F)cc1,Ki,'=',231.0,nM
